DATE,UNRATE
1948-01-01,4.0
1949-01-01,6.6
1950-01-01,4.3
1951-01-01,3.1
1952-01-01,2.7
1953-01-01,4.5
1954-01-01,5.0
1955-01-01,4.2
1956-01-01,4.2
1957-01-01,5.2
1958-01-01,6.2
1959-01-01,5.3
1960-01-01,6.6
1961-01-01,6.0
1962-01-01,5.5
1963-01-01,5.5
1964-01-01,5.0
1965-01-01,4.0
1966-01-01,3.8
1967-01-01,3.8
1968-01-01,3.4
1969-01-01,3.5
1970-01-01,6.1
1971-01-01,6.0
1972-01-01,5.2
1973-01-01,4.9
1974-01-01,7.2
1975-01-01,8.2
1976-01-01,7.8
1977-01-01,6.4
1978-01-01,6.0
1979-01-01,6.0
1980-01-01,7.2
1981-01-01,8.5
1982-01-01,10.8
1983-01-01,8.3
1984-01-01,7.3
1985-01-01,7.0
1986-01-01,6.6
1987-01-01,5.7
1988-01-01,5.3
1989-01-01,5.4
1990-01-01,6.3
1991-01-01,7.3
1992-01-01,7.4
1993-01-01,6.5
1994-01-01,5.5
1995-01-01,5.6
1996-01-01,5.4
1997-01-01,4.7
1998-01-01,4.4
1999-01-01,4.0
2000-01-01,3.9
2001-01-01,5.7
2002-01-01,6.0
2003-01-01,5.7
2004-01-01,5.4
2005-01-01,4.9
2006-01-01,4.4
2007-01-01,5.0
2008-01-01,7.3
2009-01-01,9.9
2010-01-01,9.3
2011-01-01,8.5
2012-01-01,7.9
2013-01-01,6.7
2014-01-01,5.6
2015-01-01,5.0
2016-01-01,4.7
2017-01-01,4.1
2018-01-01,3.9
2019-01-01,3.5
2020-01-01,.
