series_id                     	area_type_code	area_code	measure_code	seasonal	srd_code	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
LASBS060000000000003          	L	BS0600000000000	03	S	06	Unemployment Rate: Balance of California, state less Los Angeles-Long Beach-Glendale MD (S)		1976	M01	2023	M06
LASBS060000000000004          	L	BS0600000000000	04	S	06	Unemployment: Balance of California, state less Los Angeles-Long Beach-Glendale MD (S)		1976	M01	2023	M06
LASBS060000000000005          	L	BS0600000000000	05	S	06	Employment: Balance of California, state less Los Angeles-Long Beach-Glendale MD (S)		1976	M01	2023	M06
LASBS060000000000006          	L	BS0600000000000	06	S	06	Labor Force: Balance of California, state less Los Angeles-Long Beach-Glendale MD (S)		1976	M01	2023	M06
LASBS120000000000003          	L	BS1200000000000	03	S	12	Unemployment Rate: Balance of Florida, state less Miami-Miami Beach-Kendall MD (S)		1990	M01	2023	M06
LASBS120000000000004          	L	BS1200000000000	04	S	12	Unemployment: Balance of Florida, state less Miami-Miami Beach-Kendall MD (S)		1990	M01	2023	M06
LASBS120000000000005          	L	BS1200000000000	05	S	12	Employment: Balance of Florida, state less Miami-Miami Beach-Kendall MD (S)		1990	M01	2023	M06
LASBS120000000000006          	L	BS1200000000000	06	S	12	Labor Force: Balance of Florida, state less Miami-Miami Beach-Kendall MD (S)		1990	M01	2023	M06
LASBS170000000000003          	L	BS1700000000000	03	S	17	Unemployment Rate: Balance of Illinois, state less Chicago-Naperville-Arlington Heights MD (S)		1994	M01	2023	M06
LASBS170000000000004          	L	BS1700000000000	04	S	17	Unemployment: Balance of Illinois, state less Chicago-Naperville-Arlington Heights MD (S)		1994	M01	2023	M06
LASBS170000000000005          	L	BS1700000000000	05	S	17	Employment: Balance of Illinois, state less Chicago-Naperville-Arlington Heights MD (S)		1994	M01	2023	M06
LASBS170000000000006          	L	BS1700000000000	06	S	17	Labor Force: Balance of Illinois, state less Chicago-Naperville-Arlington Heights MD (S)		1994	M01	2023	M06
LASBS260000000000003          	L	BS2600000000000	03	S	26	Unemployment Rate: Balance of Michigan, state less Detroit-Warren-Dearborn MSA (S)		1990	M01	2023	M06
LASBS260000000000004          	L	BS2600000000000	04	S	26	Unemployment: Balance of Michigan, state less Detroit-Warren-Dearborn MSA (S)		1990	M01	2023	M06
LASBS260000000000005          	L	BS2600000000000	05	S	26	Employment: Balance of Michigan, state less Detroit-Warren-Dearborn MSA (S)		1990	M01	2023	M06
LASBS260000000000006          	L	BS2600000000000	06	S	26	Labor Force: Balance of Michigan, state less Detroit-Warren-Dearborn MSA (S)		1990	M01	2023	M06
LASBS360000000000003          	L	BS3600000000000	03	S	36	Unemployment Rate: Balance of New York, state less New York city (S)		1976	M01	2023	M06
LASBS360000000000004          	L	BS3600000000000	04	S	36	Unemployment: Balance of New York, state less New York city (S)		1976	M01	2023	M06
LASBS360000000000005          	L	BS3600000000000	05	S	36	Employment: Balance of New York, state less New York city (S)		1976	M01	2023	M06
LASBS360000000000006          	L	BS3600000000000	06	S	36	Labor Force: Balance of New York, state less New York city (S)		1976	M01	2023	M06
LASBS390000000000003          	L	BS3900000000000	03	S	39	Unemployment Rate: Balance of Ohio, state less Cleveland-Elyria MSA (S)		1990	M01	2023	M06
LASBS390000000000004          	L	BS3900000000000	04	S	39	Unemployment: Balance of Ohio, state less Cleveland-Elyria MSA (S)		1990	M01	2023	M06
LASBS390000000000005          	L	BS3900000000000	05	S	39	Employment: Balance of Ohio, state less Cleveland-Elyria MSA (S)		1990	M01	2023	M06
LASBS390000000000006          	L	BS3900000000000	06	S	39	Labor Force: Balance of Ohio, state less Cleveland-Elyria MSA (S)		1990	M01	2023	M06
LASBS530000000000003          	L	BS5300000000000	03	S	53	Unemployment Rate: Balance of Washington, state less Seattle-Bellevue-Everett MD (S)		1990	M01	2023	M06
LASBS530000000000004          	L	BS5300000000000	04	S	53	Unemployment: Balance of Washington, state less Seattle-Bellevue-Everett MD (S)		1990	M01	2023	M06
LASBS530000000000005          	L	BS5300000000000	05	S	53	Employment: Balance of Washington, state less Seattle-Bellevue-Everett MD (S)		1990	M01	2023	M06
LASBS530000000000006          	L	BS5300000000000	06	S	53	Labor Force: Balance of Washington, state less Seattle-Bellevue-Everett MD (S)		1990	M01	2023	M06
LASCT365100000000003          	G	CT3651000000000	03	S	36	Unemployment Rate: New York city, NY (S)		1976	M01	2023	M06
LASCT365100000000004          	G	CT3651000000000	04	S	36	Unemployment: New York city, NY (S)		1976	M01	2023	M06
LASCT365100000000005          	G	CT3651000000000	05	S	36	Employment: New York city, NY (S)		1976	M01	2023	M06
LASCT365100000000006          	G	CT3651000000000	06	S	36	Labor Force: New York city, NY (S)		1976	M01	2023	M06
LASCT365100000000007          	G	CT3651000000000	07	S	36	Employment-Population Ratio: New York city, NY (S)		1976	M01	2023	M06
LASCT365100000000008          	G	CT3651000000000	08	S	36	Labor Force Participation Rate: New York city, NY (S)		1976	M01	2023	M06
LASDV063108400000003          	C	DV0631084000000	03	S	06	Unemployment Rate: Los Angeles-Long Beach-Glendale, CA Metropolitan Division (S)		1976	M01	2023	M06
LASDV063108400000004          	C	DV0631084000000	04	S	06	Unemployment: Los Angeles-Long Beach-Glendale, CA Metropolitan Division (S)		1976	M01	2023	M06
LASDV063108400000005          	C	DV0631084000000	05	S	06	Employment: Los Angeles-Long Beach-Glendale, CA Metropolitan Division (S)		1976	M01	2023	M06
LASDV063108400000006          	C	DV0631084000000	06	S	06	Labor Force: Los Angeles-Long Beach-Glendale, CA Metropolitan Division (S)		1976	M01	2023	M06
LASDV063108400000007          	C	DV0631084000000	07	S	06	Employment-Population Ratio: Los Angeles-Long Beach-Glendale, CA Metropolitan Division (S)		1976	M01	2023	M06
LASDV063108400000008          	C	DV0631084000000	08	S	06	Labor Force Participation Rate: Los Angeles-Long Beach-Glendale, CA Metropolitan Division (S)		1976	M01	2023	M06
LASDV123312400000003          	C	DV1233124000000	03	S	12	Unemployment Rate: Miami-Miami Beach-Kendall, FL Metropolitan Division (S)		1990	M01	2023	M06
LASDV123312400000004          	C	DV1233124000000	04	S	12	Unemployment: Miami-Miami Beach-Kendall, FL Metropolitan Division (S)		1990	M01	2023	M06
LASDV123312400000005          	C	DV1233124000000	05	S	12	Employment: Miami-Miami Beach-Kendall, FL Metropolitan Division (S)		1990	M01	2023	M06
LASDV123312400000006          	C	DV1233124000000	06	S	12	Labor Force: Miami-Miami Beach-Kendall, FL Metropolitan Division (S)		1990	M01	2023	M06
LASDV171697400000003          	C	DV1716974000000	03	S	17	Unemployment Rate: Chicago-Naperville-Arlington Heights, IL Metropolitan Division (S)		1994	M01	2023	M06
LASDV171697400000004          	C	DV1716974000000	04	S	17	Unemployment: Chicago-Naperville-Arlington Heights, IL Metropolitan Division (S)		1994	M01	2023	M06
LASDV171697400000005          	C	DV1716974000000	05	S	17	Employment: Chicago-Naperville-Arlington Heights, IL Metropolitan Division (S)		1994	M01	2023	M06
LASDV171697400000006          	C	DV1716974000000	06	S	17	Labor Force: Chicago-Naperville-Arlington Heights, IL Metropolitan Division (S)		1994	M01	2023	M06
LASDV534264400000003          	C	DV5342644000000	03	S	53	Unemployment Rate: Seattle-Bellevue-Everett, WA Metropolitan Division (S)		1990	M01	2023	M06
LASDV534264400000004          	C	DV5342644000000	04	S	53	Unemployment: Seattle-Bellevue-Everett, WA Metropolitan Division (S)		1990	M01	2023	M06
LASDV534264400000005          	C	DV5342644000000	05	S	53	Employment: Seattle-Bellevue-Everett, WA Metropolitan Division (S)		1990	M01	2023	M06
LASDV534264400000006          	C	DV5342644000000	06	S	53	Labor Force: Seattle-Bellevue-Everett, WA Metropolitan Division (S)		1990	M01	2023	M06
LASMT261982000000003          	B	MT2619820000000	03	S	26	Unemployment Rate: Detroit-Warren-Dearborn, MI Metropolitan Statistical Area (S)		1990	M01	2023	M06
LASMT261982000000004          	B	MT2619820000000	04	S	26	Unemployment: Detroit-Warren-Dearborn, MI Metropolitan Statistical Area (S)		1990	M01	2023	M06
LASMT261982000000005          	B	MT2619820000000	05	S	26	Employment: Detroit-Warren-Dearborn, MI Metropolitan Statistical Area (S)		1990	M01	2023	M06
LASMT261982000000006          	B	MT2619820000000	06	S	26	Labor Force: Detroit-Warren-Dearborn, MI Metropolitan Statistical Area (S)		1990	M01	2023	M06
LASMT391746000000003          	B	MT3917460000000	03	S	39	Unemployment Rate: Cleveland-Elyria, OH Metropolitan Statistical Area (S)		1990	M01	2023	M06
LASMT391746000000004          	B	MT3917460000000	04	S	39	Unemployment: Cleveland-Elyria, OH Metropolitan Statistical Area (S)		1990	M01	2023	M06
LASMT391746000000005          	B	MT3917460000000	05	S	39	Employment: Cleveland-Elyria, OH Metropolitan Statistical Area (S)		1990	M01	2023	M06
LASMT391746000000006          	B	MT3917460000000	06	S	39	Labor Force: Cleveland-Elyria, OH Metropolitan Statistical Area (S)		1990	M01	2023	M06
LASRD810000000000003          	N	RD8100000000000	03	S	80	Unemployment Rate: New England division (S)		1976	M01	2023	M06
LASRD810000000000004          	N	RD8100000000000	04	S	80	Unemployment: New England division (S)		1976	M01	2023	M06
LASRD810000000000005          	N	RD8100000000000	05	S	80	Employment: New England division (S)		1976	M01	2023	M06
LASRD810000000000006          	N	RD8100000000000	06	S	80	Labor Force: New England division (S)		1976	M01	2023	M06
LASRD820000000000003          	N	RD8200000000000	03	S	80	Unemployment Rate: Middle Atlantic division (S)		1976	M01	2023	M06
LASRD820000000000004          	N	RD8200000000000	04	S	80	Unemployment: Middle Atlantic division (S)		1976	M01	2023	M06
LASRD820000000000005          	N	RD8200000000000	05	S	80	Employment: Middle Atlantic division (S)		1976	M01	2023	M06
LASRD820000000000006          	N	RD8200000000000	06	S	80	Labor Force: Middle Atlantic division (S)		1976	M01	2023	M06
LASRD830000000000003          	N	RD8300000000000	03	S	80	Unemployment Rate: East North Central division (S)		1976	M01	2023	M06
LASRD830000000000004          	N	RD8300000000000	04	S	80	Unemployment: East North Central division (S)		1976	M01	2023	M06
LASRD830000000000005          	N	RD8300000000000	05	S	80	Employment: East North Central division (S)		1976	M01	2023	M06
LASRD830000000000006          	N	RD8300000000000	06	S	80	Labor Force: East North Central division (S)		1976	M01	2023	M06
LASRD840000000000003          	N	RD8400000000000	03	S	80	Unemployment Rate: West North Central division (S)		1976	M01	2023	M06
LASRD840000000000004          	N	RD8400000000000	04	S	80	Unemployment: West North Central division (S)		1976	M01	2023	M06
LASRD840000000000005          	N	RD8400000000000	05	S	80	Employment: West North Central division (S)		1976	M01	2023	M06
LASRD840000000000006          	N	RD8400000000000	06	S	80	Labor Force: West North Central division (S)		1976	M01	2023	M06
LASRD850000000000003          	N	RD8500000000000	03	S	80	Unemployment Rate: South Atlantic division (S)		1976	M01	2023	M06
LASRD850000000000004          	N	RD8500000000000	04	S	80	Unemployment: South Atlantic division (S)		1976	M01	2023	M06
LASRD850000000000005          	N	RD8500000000000	05	S	80	Employment: South Atlantic division (S)		1976	M01	2023	M06
LASRD850000000000006          	N	RD8500000000000	06	S	80	Labor Force: South Atlantic division (S)		1976	M01	2023	M06
LASRD860000000000003          	N	RD8600000000000	03	S	80	Unemployment Rate: East South Central division (S)		1976	M01	2023	M06
LASRD860000000000004          	N	RD8600000000000	04	S	80	Unemployment: East South Central division (S)		1976	M01	2023	M06
LASRD860000000000005          	N	RD8600000000000	05	S	80	Employment: East South Central division (S)		1976	M01	2023	M06
LASRD860000000000006          	N	RD8600000000000	06	S	80	Labor Force: East South Central division (S)		1976	M01	2023	M06
LASRD870000000000003          	N	RD8700000000000	03	S	80	Unemployment Rate: West South Central division (S)		1976	M01	2023	M06
LASRD870000000000004          	N	RD8700000000000	04	S	80	Unemployment: West South Central division (S)		1976	M01	2023	M06
LASRD870000000000005          	N	RD8700000000000	05	S	80	Employment: West South Central division (S)		1976	M01	2023	M06
LASRD870000000000006          	N	RD8700000000000	06	S	80	Labor Force: West South Central division (S)		1976	M01	2023	M06
LASRD880000000000003          	N	RD8800000000000	03	S	80	Unemployment Rate: Mountain division (S)		1976	M01	2023	M06
LASRD880000000000004          	N	RD8800000000000	04	S	80	Unemployment: Mountain division (S)		1976	M01	2023	M06
LASRD880000000000005          	N	RD8800000000000	05	S	80	Employment: Mountain division (S)		1976	M01	2023	M06
LASRD880000000000006          	N	RD8800000000000	06	S	80	Labor Force: Mountain division (S)		1976	M01	2023	M06
LASRD890000000000003          	N	RD8900000000000	03	S	80	Unemployment Rate: Pacific division (S)		1976	M01	2023	M06
LASRD890000000000004          	N	RD8900000000000	04	S	80	Unemployment: Pacific division (S)		1976	M01	2023	M06
LASRD890000000000005          	N	RD8900000000000	05	S	80	Employment: Pacific division (S)		1976	M01	2023	M06
LASRD890000000000006          	N	RD8900000000000	06	S	80	Labor Force: Pacific division (S)		1976	M01	2023	M06
LASRD910000000000003          	M	RD9100000000000	03	S	80	Unemployment Rate: Northeast region (S)		1976	M01	2023	M06
LASRD910000000000004          	M	RD9100000000000	04	S	80	Unemployment: Northeast region (S)		1976	M01	2023	M06
LASRD910000000000005          	M	RD9100000000000	05	S	80	Employment: Northeast region (S)		1976	M01	2023	M06
LASRD910000000000006          	M	RD9100000000000	06	S	80	Labor Force: Northeast region (S)		1976	M01	2023	M06
LASRD920000000000003          	M	RD9200000000000	03	S	80	Unemployment Rate: Midwest region (S)		1976	M01	2023	M06
LASRD920000000000004          	M	RD9200000000000	04	S	80	Unemployment: Midwest region (S)		1976	M01	2023	M06
LASRD920000000000005          	M	RD9200000000000	05	S	80	Employment: Midwest region (S)		1976	M01	2023	M06
LASRD920000000000006          	M	RD9200000000000	06	S	80	Labor Force: Midwest region (S)		1976	M01	2023	M06
LASRD930000000000003          	M	RD9300000000000	03	S	80	Unemployment Rate: South region (S)		1976	M01	2023	M06
LASRD930000000000004          	M	RD9300000000000	04	S	80	Unemployment: South region (S)		1976	M01	2023	M06
LASRD930000000000005          	M	RD9300000000000	05	S	80	Employment: South region (S)		1976	M01	2023	M06
LASRD930000000000006          	M	RD9300000000000	06	S	80	Labor Force: South region (S)		1976	M01	2023	M06
LASRD940000000000003          	M	RD9400000000000	03	S	80	Unemployment Rate: West region (S)		1976	M01	2023	M06
LASRD940000000000004          	M	RD9400000000000	04	S	80	Unemployment: West region (S)		1976	M01	2023	M06
LASRD940000000000005          	M	RD9400000000000	05	S	80	Employment: West region (S)		1976	M01	2023	M06
LASRD940000000000006          	M	RD9400000000000	06	S	80	Labor Force: West region (S)		1976	M01	2023	M06
LASST010000000000003          	A	ST0100000000000	03	S	01	Unemployment Rate: Alabama (S)		1976	M01	2023	M06
LASST010000000000004          	A	ST0100000000000	04	S	01	Unemployment: Alabama (S)		1976	M01	2023	M06
LASST010000000000005          	A	ST0100000000000	05	S	01	Employment: Alabama (S)		1976	M01	2023	M06
LASST010000000000006          	A	ST0100000000000	06	S	01	Labor Force: Alabama (S)		1976	M01	2023	M06
LASST010000000000007          	A	ST0100000000000	07	S	01	Employment-Population Ratio: Alabama (S)		1976	M01	2023	M06
LASST010000000000008          	A	ST0100000000000	08	S	01	Labor Force Participation Rate: Alabama (S)		1976	M01	2023	M06
LASST020000000000003          	A	ST0200000000000	03	S	02	Unemployment Rate: Alaska (S)		1976	M01	2023	M06
LASST020000000000004          	A	ST0200000000000	04	S	02	Unemployment: Alaska (S)		1976	M01	2023	M06
LASST020000000000005          	A	ST0200000000000	05	S	02	Employment: Alaska (S)		1976	M01	2023	M06
LASST020000000000006          	A	ST0200000000000	06	S	02	Labor Force: Alaska (S)		1976	M01	2023	M06
LASST020000000000007          	A	ST0200000000000	07	S	02	Employment-Population Ratio: Alaska (S)		1976	M01	2023	M06
LASST020000000000008          	A	ST0200000000000	08	S	02	Labor Force Participation Rate: Alaska (S)		1976	M01	2023	M06
LASST040000000000003          	A	ST0400000000000	03	S	04	Unemployment Rate: Arizona (S)		1976	M01	2023	M06
LASST040000000000004          	A	ST0400000000000	04	S	04	Unemployment: Arizona (S)		1976	M01	2023	M06
LASST040000000000005          	A	ST0400000000000	05	S	04	Employment: Arizona (S)		1976	M01	2023	M06
LASST040000000000006          	A	ST0400000000000	06	S	04	Labor Force: Arizona (S)		1976	M01	2023	M06
LASST040000000000007          	A	ST0400000000000	07	S	04	Employment-Population Ratio: Arizona (S)		1976	M01	2023	M06
