
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="SCEMeandiff0",="SCEMeandiff1",="SCEMeandiff2",="SCEMeandiff3",="SCEVardiff0",="SCEVardiff1",="SCEVardiff2",="SCEVardiff3"

="L.IncExp_Mean_ch",="",="-0.436***",="-0.595***",="-0.653***",="",="",="",=""
="",="",="(0.010)",="(0.012)",="(0.016)",="",="",="",=""

="L2.IncExp_Mean_ch",="",="",="-0.330***",="-0.427***",="",="",="",=""
="",="",="",="(0.010)",="(0.016)",="",="",="",=""

="L3.IncExp_Mean_ch",="",="",="-0.159***",="-0.285***",="",="",="",=""
="",="",="",="(0.008)",="(0.018)",="",="",="",=""

="L4.IncExp_Mean_ch",="",="",="",="-0.185***",="",="",="",=""
="",="",="",="",="(0.016)",="",="",="",=""

="L5.IncExp_Mean_ch",="",="",="",="-0.098***",="",="",="",=""
="",="",="",="",="(0.014)",="",="",="",=""

="L6.IncExp_Mean_ch",="",="",="",="-0.053***",="",="",="",=""
="",="",="",="",="(0.011)",="",="",="",=""

="L.IncExp_Var_ch",="",="",="",="",="",="-0.452***",="-0.622***",="-0.715***"
="",="",="",="",="",="",="(0.013)",="(0.021)",="(0.030)"

="L2.IncExp_Var_ch",="",="",="",="",="",="",="-0.372***",="-0.544***"
="",="",="",="",="",="",="",="(0.021)",="(0.035)"

="L3.IncExp_Var_ch",="",="",="",="",="",="",="-0.170***",="-0.328***"
="",="",="",="",="",="",="",="(0.013)",="(0.036)"

="L4.IncExp_Var_ch",="",="",="",="",="",="",="",="-0.203***"
="",="",="",="",="",="",="",="",="(0.033)"

="L5.IncExp_Var_ch",="",="",="",="",="",="",="",="-0.137***"
="",="",="",="",="",="",="",="",="(0.023)"

="L6.IncExp_Var_ch",="",="",="",="",="",="",="",="-0.057**"
="",="",="",="",="",="",="",="",="(0.017)"

="_cons",="-0.035**",="-0.040***",="-0.035**",="-0.025",="-0.218***",="-0.281***",="-0.335***",="-0.232**"
="",="(0.011)",="(0.011)",="(0.010)",="(0.013)",="(0.054)",="(0.058)",="(0.058)",="(0.084)"

="N",="40217",="30760",="18641",="8403",="39603",="29783",="17520",="7543"
="r2",="0.000",="0.202",="0.279",="0.305",="0.000",="0.223",="0.296",="0.346"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
