
="",="(1)",="(2)",="(3)",="(4)"
="",="SCE_Meanlvl",="SCE_Meandiff",="SCE_Varlvl",="SCE_Vardiff"

="L3.IncExp_Mean",="0.344***",="",="",=""
="",="(0.0127)",="",="",=""

="L4.IncExp_Mean",="0.248***",="",="",=""
="",="(0.0128)",="",="",=""

="L5.IncExp_Mean",="0.174***",="",="",=""
="",="(0.0101)",="",="",=""

="L3.IncExp_Mean_ch",="",="-0.0221",="",=""
="",="",="(0.0148)",="",=""

="L4.IncExp_Mean_ch",="",="0.00817",="",=""
="",="",="(0.0146)",="",=""

="L5.IncExp_Mean_ch",="",="0.00283",="",=""
="",="",="(0.0121)",="",=""

="L3.IncExp_Var",="",="",="0.276***",=""
="",="",="",="(0.0166)",=""

="L4.IncExp_Var",="",="",="0.220***",=""
="",="",="",="(0.0133)",=""

="L5.IncExp_Var",="",="",="0.129***",=""
="",="",="",="(0.0124)",=""

="L3.IncExp_Var_ch",="",="",="",="-0.00676"
="",="",="",="",="(0.0231)"

="L4.IncExp_Var_ch",="",="",="",="0.00834"
="",="",="",="",="(0.0230)"

="L5.IncExp_Var_ch",="",="",="",="-0.0225"
="",="",="",="",="(0.0150)"

="_cons",="0.580***",="-0.0118",="1.375***",="-0.0217"
="",="(0.0194)",="(0.0142)",="(0.0919)",="(0.0837)"

="N",="17301",="11965",="16519",="11096"
="R-sq",="0.461",="0.001",="0.292",="0.001"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
