
="",="(1)",="(2)",="(3)",="(4)"
="",="est1",="est2",="est3",="est4"

="L.log perceived risk (real)",="0.120***",="0.0461***",="0.0879***",="0.0281***"
="",="(0.00491)",="(0.00594)",="(0.00500)",="(0.00597)"

="L2.log perceived risk (real)",="",="0.0354***",="",="0.0161**"
="",="",="(0.00550)",="",="(0.00560)"

="Constant",="-6.695***",="-7.020***",="-5.216***",="-5.741***"
="",="(0.0371)",="(0.0585)",="(0.0916)",="(0.114)"

="Individual FE",="Yes",="Yes",="Yes",="Yes"
="Time FE",="No",="No",="Yes",="Yes"
="R-squared",="0.688",="0.721",="0.696",="0.727"
="Sample Size",="41807",="30894",="41807",="30894"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
