
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="est1",="est2",="est3",="est4",="est5",="est6"

="full sample permanent risk (var)",="0.01000**",="",="",="",="",=""
="",="(0.00343)",="",="",="",="",=""

="full sample transitory risk  (var)",="0.00913",="",="",="",="",=""
="",="(0.00530)",="",="",="",="",=""

="sub sample permanent risk  (var)",="",="0.0000960",="",="",="",=""
="",="",="(0.000402)",="",="",="",=""

="sub sample transitory risk  (var)",="",="0.000874",="",="",="",=""
="",="",="(0.000745)",="",="",="",=""

="change in p risk",="",="",="0.00494*",="",="",=""
="",="",="",="(0.00226)",="",="",=""

="change in t risk",="",="",="0.00768*",="",="",=""
="",="",="",="(0.00382)",="",="",=""

="prisk2_sub_ch",="",="",="",="0.0000357",="",=""
="",="",="",="",="(0.000265)",="",=""

="trisk2_sub_ch",="",="",="",="0.000137",="",=""
="",="",="",="",="(0.000498)",="",=""

="change in annual risk",="",="",="",="",="0.00427",=""
="",="",="",="",="",="(0.00264)",=""

="change in annual group risk",="",="",="",="",="",="0.000377"
="",="",="",="",="",="",="(0.000304)"

="Individual FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="R-squared",="0.0840",="0.0898",="0.0839",="0.0898",="0.0822",="0.0863"
="Sample Size",="44308",="35838",="44308",="35838",="40160",="33994"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
