
="",="(1)",="(2)",="(3)",="(4)"
="",="est1",="est2",="est3",="est4"

="income shock squared",="0.0215***",="0.0211***",="0.0201***",="0.0219***"
="",="(0.00576)",="(0.00574)",="(0.00576)",="(0.00573)"

="unemployed since m-4 and employed now",="",="",="0.522*",=""
="",="",="",="(0.262)",=""

="unemployment rate",="",="",="",="0.112***"
="",="",="",="",="(0.0303)"

="Observations",="3556",="3556",="3556",="3556"
="R-squared",="0.012",="0.028",="0.029",="0.031"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
