
="",="(1)",="(2)",="(3)"
="",="est1",="est2",="est3"

="L.forecast error of separation rate",="-0.783***",="",=""
="",="(0.00668)",="",=""

="L2.forecast error of separation rate",="-0.0639***",="",=""
="",="(0.00656)",="",=""

="L3.forecast error of separation rate",="-0.0452***",="",=""
="",="(0.00663)",="",=""

="L4.forecast error of separation rate",="-0.0648***",="",=""
="",="(0.00667)",="",=""

="L4.forecast error of separation rate",="",="-1.360***",=""
="",="",="(0.0348)",=""

="L.exp_f_fe",="",="",="-1.014***"
="",="",="",="(0.00744)"

="L2.exp_f_fe",="",="",="-0.0672***"
="",="",="",="(0.00728)"

="L3.exp_f_fe",="",="",="-0.0888***"
="",="",="",="(0.00705)"

="L4.exp_f_fe",="",="",="-0.0625***"
="",="",="",="(0.00675)"

="Individual FE",="Yes",="Yes",="Yes"
="R-squared",="0.433",="0.790",="0.546"
="Sample Size",="24728",="1358",="21075"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
