
="",="(1)",="(2)",="(3)",="(4)"
="",="est1",="est2",="est3",="est4"

="month=1",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="month=2",="-0.000661",="-0.00161*",="-0.00000782",="-0.0000766**"
="",="(0.000449)",="(0.000663)",="(0.0000118)",="(0.0000264)"

="month=3",="-0.000114",="-0.000445",="0.00000499",="0.0000126"
="",="(0.000456)",="(0.000674)",="(0.0000119)",="(0.0000265)"

="month=4",="-0.000110",="-0.00161*",="0.00000881",="0.0000173"
="",="(0.000459)",="(0.000682)",="(0.0000119)",="(0.0000267)"

="month=5",="-0.000228",="-0.000936",="-0.000000971",="0.00000838"
="",="(0.000460)",="(0.000686)",="(0.0000119)",="(0.0000267)"

="month=6",="0.000110",="-0.0000537",="0.00000322",="0.00000488"
="",="(0.000461)",="(0.000685)",="(0.0000118)",="(0.0000263)"

="month=7",="-0.000316",="-0.000770",="-0.0000205",="-0.0000430"
="",="(0.000453)",="(0.000672)",="(0.0000117)",="(0.0000262)"

="month=8",="-0.000135",="-0.000544",="-0.0000112",="-0.0000244"
="",="(0.000464)",="(0.000688)",="(0.0000120)",="(0.0000267)"

="month=9",="-0.000501",="-0.000711",="-0.0000215",="-0.0000148"
="",="(0.000459)",="(0.000680)",="(0.0000119)",="(0.0000266)"

="month=10",="0.000155",="-0.000245",="-0.00000680",="-0.0000327"
="",="(0.000456)",="(0.000674)",="(0.0000118)",="(0.0000264)"

="month=11",="0.000184",="-0.000584",="-0.0000101",="-0.0000286"
="",="(0.000455)",="(0.000674)",="(0.0000118)",="(0.0000264)"

="month=12",="0.000702",="0.000459",="-0.00000426",="0.0000115"
="",="(0.000453)",="(0.000670)",="(0.0000118)",="(0.0000264)"

="Constant",="-0.000277",="0.000727",="0.000453***",="0.00128***"
="",="(0.000323)",="(0.000480)",="(0.00000838)",="(0.0000187)"

="Individual FE",="Yes",="Yes",="Yes",="Yes"
="Time FE",="Yes",="Yes",="Yes",="Yes"
="R-squared",="0.0703",="0.0778",="0.591",="0.552"
="Sample Size",="46681",="41074",="61122",="58708"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
