
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="est1",="est2",="est3",="est4",="est5"

="expected wage growth",="0.262***",="0.217**",="0.225***",="0.215***",=""
="",="(0.0703)",="(0.0706)",="(0.0317)",="(0.0317)",=""

="perceived wage risk",="7.216***",="6.838***",="2.805***",="2.537***",=""
="",="(0.974)",="(0.979)",="(0.411)",="(0.413)",=""

="perceived UE risk next 4m",="",="",="",="",="0.353***"
="",="",="",="",="",="(0.0553)"

="R-squared",="0.00123",="0.00407",="0.940",="0.941",="0.633"
="Sample Size",="66363",="66363",="66363",="66363",="6269"
="Time FE",="No",="Yes",="No",="Yes",="Yes"
="Individual FE",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
