
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="log perceived risk",="log perceived risk",="log perceived risk",="log perceived iqr",="log perceived iqr",="log perceived iqr",="log prob of higher UE",="log prob of higher UE",="log prob of higher UE"

="log experienced volatility",="3.263***",="3.373***",="3.519***",="1.774***",="1.665***",="1.632***",="0.700*",="0.702*",="0.625"
="",="(5.13)",="(5.31)",="(5.05)",="(5.17)",="(4.86)",="(4.36)",="(2.26)",="(2.27)",="(1.86)"

="R-squre",="0.0175",="0.0227",="0.0250",="0.0122",="0.0171",="0.0273",="0.000451",="0.00150",="0.00328"
="N",="40082",="40082",="33438",="44367",="44367",="37003",="55772",="55772",="46309"
="Control age",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Control educ",="No",="Yes",="Yes",="No",="Yes",="Yes",="No",="Yes",="Yes"
="Control income",="No",="No",="Yes",="No",="No",="Yes",="No",="No",="Yes"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
