
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="var of earning growth of same job/time/place from y to y+1(%)",="var of earning growth of same job/time/place from y to y+1(%)",="var of earning growth of same job/time/place from y to y+1(%)",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="mean of earning growth of same job/time/place from y to y+1(%)",="mean of earning growth of same job/time/place from y to y+1(%)",="mean of earning growth of same job/time/place from y to y+1(%)"

="middle-age",="-0.0000369**",="0.0000945",="0.0000691",="-0.00275***",="-0.00237",="-0.00430",="-0.00150***",="-0.00287",="-0.00666"
="",="(0.0000136)",="(0.000100)",="(0.000101)",="(0.000485)",="(0.00412)",="(0.00416)",="(0.000367)",="(0.00316)",="(0.00340)"

="old",="-0.0000631***",="0.0000860",="-0.0000265",="-0.00494***",="-0.00722",="-0.00923*",="-0.00237***",="-0.00359",="-0.00805*"
="",="(0.0000146)",="(0.000102)",="(0.0000925)",="(0.000523)",="(0.00421)",="(0.00415)",="(0.000399)",="(0.00319)",="(0.00334)"

="HS graduate",="-0.000182**",="0.000173",="0.000138",="-0.00433*",="-0.0146",="-0.0178",="0.000477",="0.0109",="0.00478"
="",="(0.0000667)",="(0.000119)",="(0.000131)",="(0.00202)",="(0.0191)",="(0.0205)",="(0.00135)",="(0.0105)",="(0.00871)"

="College/above",="-0.000171*",="0.000242*",="0.000134",="-0.00677***",="-0.0171",="-0.0192",="0.00170",="0.0122",="0.00341"
="",="(0.0000665)",="(0.000117)",="(0.000128)",="(0.00201)",="(0.0191)",="(0.0207)",="(0.00135)",="(0.0104)",="(0.00862)"

="high inc",="-0.0000894***",="0.0000197",="0.0000413",="-0.00760***",="-0.00138",="-0.00320",="0.00284***",="0.000806",="0.00161"
="",="(0.00000749)",="(0.0000709)",="(0.0000632)",="(0.000271)",="(0.00264)",="(0.00249)",="(0.000192)",="(0.00200)",="(0.00198)"

="1",="0.0000653***",="0.000212",="0.000167",="0.00159**",="0.00280",="0.00366",="0.00252***",="0.00532",="0.00338"
="",="(0.0000137)",="(0.000119)",="(0.000115)",="(0.000492)",="(0.00470)",="(0.00487)",="(0.000374)",="(0.00370)",="(0.00384)"

="female",="",="0.0000976",="0.0000391",="",="0.00134",="-0.00168",="",="0.00513**",="0.00319"
="",="",="(0.0000640)",="(0.0000564)",="",="(0.00220)",="(0.00227)",="",="(0.00182)",="(0.00201)"

="hispanic/latino/spanish(1/0)=2",="",="0.0000614",="0.000158",="",="0.00327",="0.00999",="",="0.00120",="0.00459"
="",="",="(0.000239)",="(0.000192)",="",="(0.00754)",="(0.00897)",="",="(0.00507)",="(0.00578)"

="race: white",="",="0.000626",="0.000639",="",="0.00816",="-0.000434",="",="0.00695",="0.0103"
="",="",="(0.000504)",="(0.000555)",="",="(0.0110)",="(0.0115)",="",="(0.0120)",="(0.0112)"

="race: black/african american",="",="0.000948",="0.000975",="",="0.0101",="0.00298",="",="0.00819",="0.0131"
="",="",="(0.000524)",="(0.000565)",="",="(0.0110)",="(0.0113)",="",="(0.0114)",="(0.0101)"

="race: american indian/alaska native",="",="-0.000257",="-0.0000597",="",="-0.00452",="0.00253",="",="0.0163*",="0.0155*"
="",="",="(0.000200)",="(0.000179)",="",="(0.00490)",="(0.00375)",="",="(0.00750)",="(0.00783)"

="race: asian",="",="0.000627",="0.000730",="",="0.00699",="0.000864",="",="0.0101",="0.0130"
="",="",="(0.000497)",="(0.000571)",="",="(0.0116)",="(0.0120)",="",="(0.0119)",="(0.0116)"

="race: native hawaiian or other pacific islander",="",="0.0000661",="-0.000352",="",="-0.00544",="-0.00860",="",="0.00681",="-0.0216**"
="",="",="(0.000432)",="(0.000208)",="",="(0.00877)",="(0.00620)",="",="(0.0164)",="(0.00771)"

="race: other",="",="0.000978",="0.000881",="",="0.0237",="0.0220",="",="0.00628",="0.0104"
="",="",="(0.000656)",="(0.000695)",="",="(0.0135)",="(0.0135)",="",="(0.0139)",="(0.0128)"

="chance of UE higher from y to y+1(0-1)",="",="",="0.000000795",="",="",="-0.0000291",="",="",="-0.0000656"
="",="",="",="(0.00000110)",="",="",="(0.0000451)",="",="",="(0.0000409)"

="chance of stock market up from y to y+1(%)",="",="",="0.00000156",="",="",="0.0000598",="",="",="0.000202***"
="",="",="",="(0.00000143)",="",="",="(0.0000500)",="",="",="(0.0000467)"

="mean of inflation from y to y+1(%)",="",="",="0.0000682",="",="",="0.0232",="",="",="0.141**"
="",="",="",="(0.00142)",="",="",="(0.0553)",="",="",="(0.0462)"

="chance of losing job from y to y+1(%)",="",="",="-0.000000141",="",="",="0.0000822",="",="",="-0.0000888"
="",="",="",="(0.00000133)",="",="",="(0.0000661)",="",="",="(0.0000486)"

="Observations",="70342",="699",="574",="78769",="775",="628",="71436",="681",="568"
="R-squared",="0.012",="0.085",="0.105",="0.032",="0.079",="0.135",="0.027",="0.109",="0.191"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
